Country_Code,Year,Traffic_Deaths,Population,GDP_Per_Capita,Alcohol_Per_Capita,Death_Rate_Per_100k
DEU,2018,4436,82905782.0,48916.1686612154,12.22,5.35065214148755
DEU,2019,4468,83092962.0,47656.199739747,12.22,5.377110037309778
GHA,2000,3309,19637087.0,253.746936203344,5.32,16.850768140916216
GHA,2001,3477,20167069.0,263.542156494853,5.32,17.240978349407147
GHA,2002,3632,20729388.0,297.46164468774,5.29,17.52101895145192
GHA,2003,3851,21296705.0,358.39927142073,5.22,18.082609492876948
GHA,2004,4036,21868298.0,406.132105329565,5.12,18.45594019251064
GHA,2005,4227,22449438.0,478.611909191028,5.11,18.82897914860942
GHA,2006,4372,23040702.0,906.441027564887,4.8,18.97511629636979
GHA,2007,4610,23642279.0,1050.12461524926,4.88,19.498966237561106
GHA,2008,4602,24249946.0,1182.65761256016,4.91,18.977361846496482
GHA,2009,4693,24862664.0,1047.70430093586,5.44,18.875692484119963
GHA,2010,4777,25474995.0,1263.89251760539,5.45,18.75172105038686
GHA,2011,4931,26095088.0,1507.43573198753,5.31,18.896276571284222
GHA,2012,5032,26734268.0,1543.77524235764,5.07,18.82228456750714
GHA,2013,5151,27386193.0,2294.79584693743,5.08,18.808747897161172
GHA,2014,5342,28041592.0,1949.90832923846,5.1,19.05027360786078
GHA,2015,5620,28696068.0,1722.77282833606,5.01,19.584564686702027
GHA,2016,5827,29356742.0,1912.47991339951,4.71,19.848932827764063
GHA,2017,5947,30008354.0,2012.28662641265,4.58,19.81781473252415
GHA,2018,5828,30637585.0,2195.32166016377,4.55,19.02238704519302
GHA,2019,5806,31258945.0,2186.65822682613,4.55,18.57388341161226
GRC,2000,2207,10805808.0,11638.2010697215,8.73,20.424201503487755
GRC,2001,2094,10862132.0,12156.9572824221,8.73,19.277983364591776
GRC,2002,1976,10902022.0,13782.195640943,8.77,18.125078081845736
GRC,2003,1922,10928070.0,18020.612039764,8.85,17.587735071243138
GRC,2004,1927,10955141.0,21449.2552764245,9.23,17.58991509100613
GRC,2005,1888,10987314.0,22054.1315756886,9.27,17.183453572001312
GRC,2006,1828,11020362.0,24416.0232970275,9.34,16.587476890505048
GRC,2007,1820,11048473.0,28440.7625328955,9.28,16.4728646212015
GRC,2008,1735,11077841.0,31695.8331092209,9.25,15.661896573529082
GRC,2009,1684,11107017.0,29425.4573200263,9.11,15.161586589810746
GRC,2010,1567,11121341.0,26653.0488008626,8.72,14.090027452624641
GRC,2011,1477,11104899.0,25504.7866510124,8.48,13.300436140841983
GRC,2012,1392,11045011.0,21624.346052551,8.24,12.602975225647128
GRC,2013,1289,10965211.0,21573.3449762805,8.1,11.755359746383357
GRC,2014,1234,10892413.0,21474.7257123892,7.77,11.328986515660029
GRC,2015,1250,10820883.0,17980.7298238137,7.48,11.551737506079679
GRC,2016,1236,10775971.0,17919.2426377048,7.34,11.469964052427388
GRC,2017,1240,10754679.0,18631.9930129293,7.28,11.529865280032999
GRC,2018,1267,10732882.0,19873.4015238771,7.12,11.804844216120145
GRC,2019,1278,10721582.0,19335.3602002969,7.12,11.919882718800267
GRD,2000,11,107451.0,4839.82811114248,7.69,10.23722440926562
GRD,2001,11,107987.0,4819.50776653843,7.69,10.186411327289395
GRD,2002,11,108404.0,4984.47405931447,7.83,10.147227039592634
GRD,2003,11,108884.0,5427.96377252312,7.92,10.102494397707652
GRD,2004,11,109323.0,5480.26117644588,7.92,10.061926584524757
GRD,2005,10,109734.0,6338.56011405358,7.94,9.112945850875755
GRD,2006,10,110135.0,6344.0383771432,8.14,9.079765742043856
GRD,2007,9,110522.0,6864.54816771858,8.22,8.14317511445685
GRD,2008,12,110896.0,7448.2040563865,8.06,10.820949357957005
GRD,2009,12,111254.0,6932.56472176781,7.78,10.786129038057059
GRD,2010,11,111586.0,6909.60169568597,7.55,9.857867474414352
GRD,2011,11,112079.0,6947.38136096464,7.46,9.814505839630975
GRD,2012,11,112775.0,7092.71985352677,7.48,9.753934825980934
GRD,2013,11,113487.0,7424.80212287327,7.54,9.69274013763691
GRD,2014,11,114132.0,7986.33421210788,7.63,9.637963060316125
GRD,2015,10,114676.0,8694.12438005692,7.77,8.720220447172904
GRD,2016,10,115130.0,9221.23461079424,7.84,8.685833405715279
GRD,2017,10,115438.0,9751.42661155932,7.94,8.662658743221469
GRD,2018,10,115691.0,10083.021279225,8.06,8.643714722839288
GRD,2019,10,115981.0,10462.7929159533,8.06,8.622101896000206
GTM,2000,1224,11697592.0,1648.96578971559,2.41,10.46369201456163
GTM,2001,1243,11969422.0,1537.68663578252,2.41,10.384795523125511
GTM,2002,1238,12246915.0,1669.33517469705,2.35,10.108668182966893
GTM,2003,1298,12525842.0,1722.54701910774,2.31,10.362576823178834
GTM,2004,1376,12807402.0,1840.91184884,2.29,10.743787069383782
GTM,2005,1411,13087629.0,2046.46611650758,2.27,10.78117358002737
GTM,2006,1502,13367459.0,2225.1234753878,2.27,11.236241682132707
GTM,2007,1564,13652040.0,2458.81573919384,2.23,11.456163327971497
GTM,2008,1651,13935174.0,2763.05988172926,2.15,11.847717150858683
GTM,2009,1836,14215611.0,2611.64632773352,2.06,12.915378733984772
GTM,2010,2039,14500112.0,2805.25960237322,2.04,14.061960348995926
GTM,2011,2201,14792126.0,3168.98370607705,2.0,14.879537937954288
GTM,2012,2291,15089647.0,3286.61959336267,1.93,15.182595060043486
GTM,2013,2367,15387337.0,3444.15802275864,1.81,15.38277870953239
GTM,2014,2433,15681725.0,3689.14510410202,1.72,15.514874798531412
GTM,2015,2565,15971743.0,3893.50533299068,1.65,16.0596122790105
GTM,2016,2691,16268760.0,4060.13784737643,1.62,16.540904162333206
GTM,2017,2780,16567357.0,4324.99768915601,1.62,16.779984882320097
GTM,2018,2750,16845685.0,4352.94593289707,1.63,16.324655245542107
GTM,2019,2795,17103803.0,4511.99839552697,1.63,16.341394951754296
GIN,2000,1685,8428832.0,518.157066924026,0.29,19.990907399744117
GIN,2001,1702,8539960.0,483.085120214741,0.29,19.929835736935537
GIN,2002,1732,8674066.0,495.916073559269,0.3,19.96756768970861
GIN,2003,1775,8870781.0,566.48540588068,0.39,20.00951212751166
GIN,2004,1868,9062726.0,584.897740538081,0.38,20.61189977496837
GIN,2005,1893,9245844.0,463.17768685098,0.36,20.47406380639777
GIN,2006,1952,9441171.0,446.980554135013,0.28,20.67540138823881
GIN,2007,1985,9662281.0,650.148575304743,0.28,20.543803269642023
GIN,2008,1984,9898870.0,703.532825784369,0.28,20.042691741582626
GIN,2009,1990,10143534.0,662.185914665575,0.29,19.61840912644449
GIN,2010,2055,10396086.0,659.235326211315,0.31,19.767054639601866
GIN,2011,2083,10656810.0,636.694958747648,0.34,19.54618689833074
GIN,2012,2092,10921581.0,699.353377212197,0.36,19.15473593063129
GIN,2013,2169,11191873.0,748.455020824734,0.39,19.38013413840561
GIN,2014,2241,11472924.0,765.146999389279,0.45,19.532945568191685
GIN,2015,2280,11767070.0,747.356966759448,0.5,19.37610637142466
GIN,2016,2298,12073030.0,711.996509782316,0.49,19.034161266889917
GIN,2017,2291,12385659.0,833.598621691121,0.47,18.497199059008487
GIN,2018,2299,12704774.0,933.273615633705,0.47,18.095559983987123
GIN,2019,2258,13034346.0,1031.34146480732,0.47,17.32346218214554
GNB,2000,441,1234741.0,316.945495037639,4.15,35.71599226072512
GNB,2001,451,1261273.0,327.138431972397,4.15,35.75752434246987
GNB,2002,458,1289307.0,362.034574570354,3.82,35.52295923313842
GNB,2003,464,1318806.0,419.78486611807,3.81,35.18334008186193
GNB,2004,471,1349563.0,431.376557669634,4.08,34.90018620842451
GNB,2005,464,1381585.0,463.073962650452,4.45,33.58461477216386
GNB,2006,466,1415303.0,448.513075469701,4.51,32.92581164598676
GNB,2007,505,1450986.0,519.069789794741,4.29,34.80391954160826
GNB,2008,505,1488054.0,640.210331101753,4.05,33.93694046049404
GNB,2009,500,1526377.0,583.190020139094,3.89,32.75730700868789
GNB,2010,499,1566347.0,600.194298540768,3.88,31.857564128510475
GNB,2011,491,1608076.0,719.539573498937,3.93,30.533382750566513
GNB,2012,474,1651417.0,635.461653303881,3.94,28.702623262325627
GNB,2013,484,1695973.0,654.304534409417,3.91,28.538190171659572
GNB,2014,486,1741122.0,652.022501029449,3.91,27.913035387525976
GNB,2015,484,1786457.0,645.066837207039,3.99,27.092731591076635
GNB,2016,493,1831893.0,679.665386626818,4.08,26.912052177719985
GNB,2017,488,1877072.0,783.123186602022,4.19,25.99793721285065
GNB,2018,460,1922168.0,808.531613218504,4.14,23.93131089478131
GNB,2019,457,1967696.0,811.216425885129,4.14,23.22513233751555
GUY,2000,145,764832.0,931.796651718955,5.38,18.95841178193381
GUY,2001,152,764477.0,931.574723847673,5.38,19.882874174108576
GUY,2002,152,763652.0,950.866932470993,5.84,19.904354339411146
GUY,2003,152,763101.0,973.742598054188,6.12,19.91872635470272
GUY,2004,154,762418.0,1033.31030902188,6.02,20.19889352035235
GUY,2005,155,760914.0,1084.06541388904,5.82,20.370238949473922
GUY,2006,157,758966.0,3135.60553528326,5.67,20.68603863677688
GUY,2007,156,756861.0,3608.28685240188,5.62,20.611446487532056
GUY,2008,149,754606.0,4008.9628671603,5.66,19.745403561593733
GUY,2009,147,752094.0,4209.13230624565,5.7,19.54542916178031
GUY,2010,148,749256.0,4581.76179693492,5.77,19.75292823814557
GUY,2011,153,746153.0,4947.22170589917,5.83,20.505177892469774
GUY,2012,155,746288.0,5444.39751913913,5.89,20.769461655553886
GUY,2013,149,750021.0,5556.91231156932,5.95,19.86611041557503
GUY,2014,154,754229.0,5472.68820452237,5.87,20.41820189889278
GUY,2015,152,758781.0,5640.41560569466,5.75,20.03213048297203
GUY,2016,152,763548.0,5870.87823759835,5.52,19.90706543661957
GUY,2017,154,768479.0,6178.6650437298,5.41,20.039584686113738
GUY,2018,156,791556.0,6048.38697180418,5.35,19.708018131376683
GUY,2019,156,807665.0,6405.82443444562,5.35,19.31493874316703
HTI,2000,970,8303151.0,820.600046761464,4.14,11.682311931940056
HTI,2001,995,8455918.0,748.821159844528,4.14,11.766906916552408
HTI,2002,1001,8607641.0,720.969568042522,4.11,11.629202472547357
HTI,2003,1025,8759912.0,578.995291079709,4.09,11.701030786610643
HTI,2004,1057,8910263.0,683.185298155273,4.03,11.86272503965371
HTI,2005,1072,9061273.0,775.845704056916,4.02,11.83056729446293
HTI,2006,1086,9216562.0,828.805700289589,3.99,11.78313562041898
HTI,2007,1114,9373296.0,984.566983448521,3.98,11.884826852795431
HTI,2008,1127,9530774.0,1094.66058421644,3.99,11.824852839863793
HTI,2009,1138,9689581.0,1196.8528706018,3.54,11.74457388817948
HTI,2010,1140,9803294.0,1209.72733503094,3.14,11.6287443791852
HTI,2011,1188,9914904.0,1312.03953552013,2.74,11.981961701293326
HTI,2012,1219,10069771.0,1361.39396587374,2.95,12.105538447696576
HTI,2013,1260,10222362.0,1457.83221179626,3.06,12.32591841298518
HTI,2014,1285,10373235.0,1460.18898613914,3.19,12.387649561588066
HTI,2015,1315,10523242.0,1411.12684746796,3.22,12.496149000469629
HTI,2016,1337,10671457.0,1318.40268167953,3.38,12.528748417390428
HTI,2017,1347,10817754.0,1395.23945184461,3.5,12.451752923943362
HTI,2018,1357,10962362.0,1496.38048970156,3.45,12.378719111811852
HTI,2019,1366,11105163.0,1352.17204191532,3.45,12.30058487209958
HND,2000,947,6577773.0,1092.56400746252,3.09,14.396969916718012
HND,2001,979,6757993.0,1132.1648753329,3.09,14.486549482960399
HND,2002,1007,6938859.0,1132.49965345317,3.24,14.512472439633088
HND,2003,1038,7119213.0,1156.08162681357,3.31,14.580263295957012
HND,2004,1043,7298994.0,1215.13995412761,3.34,14.289640462781584
HND,2005,1057,7478355.0,1304.70039153826,3.39,14.134124416399061
HND,2006,1068,7656832.0,1425.84780051892,3.44,13.948327454487705
HND,2007,1078,7834798.0,1577.73789197407,3.38,13.759129463197391
